City,Month,Max Temp,Min Temp
Fairbanks,June,16,-60.8
Fairbanks,July,17.1,-62.8
Fairbanks,August,13.6,-56.5
Fairbanks,September,7.3,-45.2
Fairbanks,October,−4.2,-24.4
Fairbanks,November,−16.2,-2.9
Fairbanks,December,−19.8,(−3.7)
Fresno,January,8.1,-46.6
Fresno,February,10.8,-51.5
Fresno,March,13.7,-56.6
Fresno,April,16.7,-62
Fresno,May,21.2,-70.1
Fresno,June,25.1,-77.2
Fresno,July,28.3,-83
Fresno,August,27.6,-81.7
Fresno,September,24.6,-76.2
Fresno,October,19,-66.2
Fresno,November,12.4,-54.3
Fresno,December,8.1,-46.5
Houston,January,11.5,-52.7
Houston,February,13.3,-56
Houston,March,16.9,-62.4
Houston,April,20.7,-69.2
Houston,May,24.8,-76.6
Houston,June,27.7,-81.9
Houston,July,28.9,-84
Houston,August,29,-84.2
Houston,September,26.3,-79.4
Houston,October,21.7,-71.1
Houston,November,16.6,-61.9
Houston,December,12.3,-54.1
Indianapolis,January,−2.2,-28.1
Indianapolis,February,0.1,-32.2
Indianapolis,March,5.7,-42.3
Indianapolis,April,11.8,-53.2
Indianapolis,May,17.2,-62.9
Indianapolis,June,22.3,-72.2
Indianapolis,July,24.2,-75.5
Indianapolis,August,23.5,-74.3
Indianapolis,September,19.5,-67.1
Indianapolis,October,12.9,-55.2
Indianapolis,November,6.6,-43.8
Indianapolis,December,−0.1,-31.8
Jacksonville,January,11.7,-53.1
Jacksonville,February,13.6,-56.4
Jacksonville,March,16.5,-61.7
Jacksonville,April,19.4,-66.9
Jacksonville,May,23.4,-74.1
Jacksonville,June,26.7,-80
Jacksonville,July,27.9,-82.3
Jacksonville,August,27.6,-81.7
Jacksonville,September,25.7,-78.2
Jacksonville,October,21.3,-70.4
Jacksonville,November,16.8,-62.2
Jacksonville,December,12.9,-55.2
Kansas City,January,−1.8,-28.8
Kansas City,February,0.8,-33.5
Kansas City,March,6.8,-44.2
Kansas City,April,12.7,-54.8
Kansas City,May,18.1,-64.5
Kansas City,June,23.1,-73.5
Kansas City,July,25.7,-78.3
Kansas City,August,25,-77
Kansas City,September,20.1,-68.1
Kansas City,October,13.5,-56.3
Kansas City,November,6.4,-43.6
Kansas City,December,−0.3,-31.4
Las Vegas,January,8.8,-47.8
Las Vegas,February,11.1,-52
Las Vegas,March,15,-59
Las Vegas,April,19.1,-66.4
Las Vegas,May,24.7,-76.5
Las Vegas,June,29.9,-85.8
Las Vegas,July,33.2,-91.7
Las Vegas,August,32.1,-89.8
Las Vegas,September,27.6,-81.7
Las Vegas,October,20.4,-68.7
Las Vegas,November,13.1,-55.6
Las Vegas,December,8.2,-46.8
Lake Havasu City,January,12.2,-54
Lake Havasu City,February,14.6,-58.3
Lake Havasu City,March,18.1,-64.5
Lake Havasu City,April,22.4,-72.4
Lake Havasu City,May,27.9,-82.2
Lake Havasu City,June,32.7,-90.9
Lake Havasu City,July,36.1,-96.9
Lake Havasu City,August,35.5,-95.9
Lake Havasu City,September,31.3,-88.3
Lake Havasu City,October,24.1,-75.3
Lake Havasu City,November,17,-62.6
Lake Havasu City,December,11.7,-53
Los Angeles,January,14.4,-58
Los Angeles,February,14.9,-58.9
Los Angeles,March,15.9,-60.6
Los Angeles,April,17.3,-63.1
